,math_score,reading_score,writing_score,average_score
math_score,1.0,0.8175796636720539,0.8026420459498075,0.9187457588383449
reading_score,0.8175796636720539,1.0,0.9545980771462476,0.9703306887176942
writing_score,0.8026420459498075,0.9545980771462476,1.0,0.965667237454207
average_score,0.9187457588383449,0.9703306887176942,0.965667237454207,1.0
