,sum_sq,df,F,PR(>F)
C(gender),3417.1481010152406,1.0,21.91901691931799,3.2411734457311293e-06
C(race_ethnicity),4476.401367123371,4.0,7.17837758293855,1.0680229152071082e-05
C(parental_education),8505.599313019886,5.0,10.911694181216927,3.0828150794111747e-10
C(lunch),17533.230743510958,1.0,112.46547411952778,5.866484061898944e-25
C(test_preparation),13197.566838193734,1.0,84.65471272206598,2.0621890647418373e-19
Residual,153872.1005653106,987.0,,
